genres,release_year,playtime_forever
Action,1983.0,3473.0
Action,1984.0,384.0
Action,1988.0,16001.0
Action,1989.0,607.0
Action,1990.0,18271.0
Action,1991.0,2203.0
Action,1992.0,1925.0
Action,1993.0,23911.0
Action,1994.0,119436.0
Action,1995.0,215960.0
Action,1996.0,67844.0
Action,1997.0,359836.0
Action,1998.0,2884140.0
Action,1999.0,2706663.0
Action,2000.0,18357855.0
Action,2001.0,1326310.0
Action,2002.0,732102.0
Action,2003.0,11893403.0
Action,2004.0,129693956.0
Action,2005.0,11923932.0
Action,2006.0,10772811.0
Action,2007.0,17499265.0
Action,2008.0,33400845.0
Action,2009.0,163799096.0
Action,2010.0,180085718.0
Action,2011.0,331685982.0
Action,2012.0,1085619303.0
Action,2013.0,413927850.0
Action,2014.0,166626668.0
Action,2015.0,248555106.0
Action,2016.0,95182968.0
Action,2017.0,126334352.0
Action,2018.0,2224.0
Adventure,1983.0,3473.0
Adventure,1984.0,384.0
Adventure,1987.0,7712.0
Adventure,1988.0,29963.0
Adventure,1989.0,9311.0
Adventure,1990.0,5346.0
Adventure,1991.0,1636.0
Adventure,1992.0,23795.0
Adventure,1993.0,46772.0
Adventure,1994.0,15890.0
Adventure,1995.0,10026.0
Adventure,1996.0,104199.0
Adventure,1997.0,324405.0
Adventure,1998.0,178831.0
Adventure,1999.0,7735.0
Adventure,2000.0,105121.0
Adventure,2001.0,50619.0
Adventure,2002.0,184447.0
Adventure,2003.0,5189429.0
Adventure,2004.0,96149.0
Adventure,2005.0,206433.0
Adventure,2006.0,203976.0
Adventure,2007.0,399173.0
Adventure,2008.0,3276314.0
Adventure,2009.0,6766513.0
Adventure,2010.0,24901044.0
Adventure,2011.0,221707756.0
Adventure,2012.0,73397431.0
Adventure,2013.0,150950309.0
Adventure,2014.0,67209616.0
Adventure,2015.0,180496599.0
Adventure,2016.0,61866242.0
Adventure,2017.0,92832682.0
Adventure,2018.0,21.0
Animation Modeling,2012.0,17914.0
Animation Modeling,2013.0,434433.0
Animation Modeling,2014.0,76717.0
Animation Modeling,2015.0,1345545.0
Animation Modeling,2016.0,111438.0
Audio Production,2007.0,11058.0
Audio Production,2013.0,54446.0
Audio Production,2014.0,455463.0
Audio Production,2015.0,5060.0
Audio Production,2016.0,459.0
Casual,1983.0,3473.0
Casual,1984.0,384.0
Casual,1991.0,1355.0
Casual,1992.0,2492.0
Casual,1993.0,22039.0
Casual,1994.0,45975.0
Casual,1995.0,3553.0
Casual,1996.0,30585.0
Casual,1997.0,32521.0
Casual,1998.0,12958.0
Casual,1999.0,632929.0
Casual,2000.0,53118.0
Casual,2001.0,6243.0
Casual,2002.0,61612.0
Casual,2003.0,3048.0
Casual,2004.0,24217.0
Casual,2005.0,40708.0
Casual,2006.0,236277.0
Casual,2007.0,681040.0
Casual,2008.0,567832.0
Casual,2009.0,931465.0
Casual,2010.0,4775797.0
Casual,2011.0,4325781.0
Casual,2012.0,20362233.0
Casual,2013.0,12884295.0
Casual,2014.0,22126708.0
Casual,2015.0,81611951.0
Casual,2016.0,43767299.0
Casual,2017.0,50922548.0
Design Illustration,2007.0,11058.0
Design Illustration,2012.0,1930339.0
Design Illustration,2013.0,292803.0
Design Illustration,2014.0,192637.0
Design Illustration,2015.0,1534013.0
Design Illustration,2016.0,112605.0
Design Illustration,2017.0,21.0
Early Access,2012.0,3225527.0
Early Access,2013.0,118902893.0
Early Access,2014.0,11213536.0
Early Access,2015.0,13529416.0
Early Access,2016.0,9677505.0
Early Access,2017.0,34195.0
Early Access,2018.0,6127.0
Education,2010.0,9.0
Education,2013.0,340567.0
Education,2014.0,22532.0
Education,2015.0,36083.0
Education,2016.0,2189.0
Education,2017.0,9382.0
Free To Play,1996.0,127.0
Free To Play,1999.0,627007.0
Free To Play,2001.0,4965.0
Free To Play,2003.0,5995099.0
Free To Play,2005.0,66729.0
Free To Play,2006.0,2561487.0
Free To Play,2007.0,181547.0
Free To Play,2008.0,104087.0
Free To Play,2009.0,2335384.0
Free To Play,2010.0,8595010.0
Free To Play,2011.0,43167345.0
Free To Play,2012.0,115204398.0
Free To Play,2013.0,144671851.0
Free To Play,2014.0,37042660.0
Free To Play,2015.0,115627604.0
Free To Play,2016.0,23266895.0
Free To Play,2017.0,86235439.0
Indie,1988.0,13962.0
Indie,1995.0,3168.0
Indie,1996.0,570.0
Indie,1997.0,64285.0
Indie,1998.0,19957.0
Indie,1999.0,627007.0
Indie,2000.0,5304.0
Indie,2001.0,88452.0
Indie,2002.0,37884.0
Indie,2003.0,2127360.0
Indie,2004.0,43179.0
Indie,2005.0,336270.0
Indie,2006.0,446115272.0
Indie,2007.0,1308363.0
Indie,2008.0,5226587.0
Indie,2009.0,3800714.0
Indie,2010.0,8507191.0
Indie,2011.0,223719661.0
Indie,2012.0,123166181.0
Indie,2013.0,177323482.0
Indie,2014.0,91851981.0
Indie,2015.0,173003439.0
Indie,2016.0,89259599.0
Indie,2017.0,125594175.0
Indie,2018.0,2326.0
